{ 1, 375978865285289, 0.045505375, -0.15567628, 9.872271
},{ 3, 375978974524666, -3.8777772E-4, 0.0046902215, 0.0051913727
},{ 1, 375978977065210, -0.043110352, -0.13891114, 9.826766
},{ 3, 375978977065210, 0.0033406478, -0.008625585, 0.007854533
},{ 1, 375978979605754, -0.0047900393, -0.22513184, 9.79563
},{ 3, 375978979605754, -0.0019856745, -0.001168733, 0.0051913727
},{ 1, 375978982146298, -0.035925295, -0.08861572, 9.77647
},{ 3, 375978982146298, 6.7748677E-4, -0.001168733, 0.016376648
},{ 1, 375978984686842, -0.122146, -0.059875492, 9.867481
},{ 3, 375978984686842, -0.003050939, 4.2916363E-4, 0.0019955793
},{ 2, 375978984686842, 22.800001, 24.300001, -49.350002
},{ 1, 375978987227386, 0.014370117, -0.10777588, 9.843531
},{ 3, 375978987227386, 0.0044059125, -0.0043645264, 0.0041261083
},{ 1, 375978989767930, -0.019160157, -0.09340577, 9.74773
},{ 3, 375978989767930, 0.0091996025, -0.0017013652, 0.0030608438
},{ 1, 375978992308474, 0.07424561, -0.13172609, 9.766891
},{ 3, 375978992308474, 0.0017427512, -0.0022339975, 0.011582959
},{ 1, 375978994848890, -0.033530276, -0.11496094, 9.829161
},{ 3, 375978994848890, -0.0025183067, 0.0014944281, 0.009985062
},{ 1, 375978997389434, -0.043110352, -0.1580713, 9.81958
},{ 3, 375978997389434, 0.007601706, 9.6179586E-4, 0.008919799
},{ 1, 375978999929978, -0.05269043, -0.1341211, 9.783655
},{ 3, 375978999929978, 0.001210119, 0.010549176, 0.0030608438
},{ 1, 375979002470522, -0.011975098, -0.12454102, 9.759705
},{ 3, 375979002470522, -0.0035835712, 4.2916363E-4, -0.005461272
},{ 1, 375979005011066, -0.0047900393, -0.15328126, 9.666299
},{ 3, 375979005011066, -3.8777772E-4, -0.0022339975, -1.3494957E-4
},{ 2, 375979005011066, 22.650002, 24.300001, -49.500004
},{ 1, 375979007551610, -0.045505375, -0.10777588, 9.75731
},{ 3, 375979007551610, 0.0022753833, 0.012679704, -0.001200214
},{ 1, 375979010092154, -0.019160157, -0.07424561, 9.778865
},{ 3, 375979010092154, -0.015301481, 0.011081807, -0.0017328463
},{ 1, 375979012632698, -0.045505375, -0.17483643, 9.821976
},{ 3, 375979012632698, 0.00387328, -0.016082436, -0.0027981107
},{ 1, 375979015173242, 0.035925295, -0.14370118, 9.843531
},{ 3, 375979015173242, -0.008909894, 0.0020270604, -0.005461272
},{ 1, 375979017713658, -0.014370117, -0.12933107, 9.80521
},{ 3, 375979017713658, 0.005471177, 0.0052228537, -0.003330743
},{ 1, 375979020254202, -0.06945557, -0.098195806, 9.81
},{ 3, 375979020254202, -0.004116203, 0.0020270604, -0.0139833875
},{ 1, 375979022803463, -0.028740235, -0.10538086, 9.83874
},{ 3, 375979022803463, 0.0044059125, 0.0025596926, -0.010254961
},{ 1, 375979025344007, -0.043110352, -0.19160157, 9.759705
},{ 3, 375979025344007, -0.0025183067, -0.005429791, -6.675818E-4
},{ 2, 375979025344007, 22.650002, 24.300001, -49.500004
},{ 1, 375979027884551, 0.0071850587, -0.13891114, 9.750125
},{ 3, 375979027884551, 0.001210119, -0.003299262, -0.0065265363
},{ 1, 375979030425095, -0.05269043, -0.16046631, 9.764495
},{ 3, 375979030425095, -3.8777772E-4, -0.0017013652, -0.0049286396
},{ 1, 375979032965639, 0.0071850587, -0.16525635, 9.857901
},{ 3, 375979032965639, -0.0073119965, -6.361008E-4, -0.00972233
},{ 1, 375979035506183, -0.045505375, -0.1101709, 9.73815
},{ 3, 375979035506183, 1.4485451E-4, 0.0025596926, -0.015048652
},{ 1, 375979038046727, -0.028740235, -0.098195806, 9.814791
},{ 3, 375979038046727, -0.0019856745, 0.0014944281, -0.009189697
},{ 1, 375979040587271, -0.019160157, -0.08861572, 9.807606
},{ 3, 375979040587271, 1.4485451E-4, 0.0020270604, -0.011852859
},{ 1, 375979043127815, -0.045505375, -0.14130616, 9.845925
},{ 3, 375979043127815, -3.8777772E-4, 0.0030923248, -0.00972233
},{ 1, 375979045668359, -0.08861572, -0.122146, 9.817185
},{ 3, 375979045668359, -0.0035835712, 0.0025596926, -0.01664655
},{ 2, 375979045668359, 22.650002, 24.300001, -49.500004
},{ 1, 375979048208903, -0.009580079, -0.18441652, 9.778865
},{ 3, 375979048208903, -0.01050779, 0.0025596926, -0.010787594
},{ 1, 375979050749447, -0.016765138, -0.102985844, 9.74294
},{ 3, 375979050749447, -0.007844629, -0.008625585, -0.008657065
},{ 1, 375979053289991, 0.0071850587, -0.100590825, 9.79563
},{ 3, 375979053289991, -3.8777772E-4, 0.0068207504, -0.013450756
},{ 1, 375979055830535, 0.05508545, -0.086220704, 9.766891
},{ 3, 375979055830535, -0.0019856745, -0.0064950553, -0.0075918008
},{ 1, 375979058371079, -0.019160157, -0.117355965, 9.778865
},{ 3, 375979058371079, -0.008909894, 0.006288118, -0.01664655
},{ 1, 375979060911623, -0.035925295, -0.1341211, 9.79084
},{ 3, 375979060911623, -0.0025183067, 0.0030923248, -0.0065265363
},{ 1, 375979063452295, 0.033530276, -0.20597169, 9.843531
},{ 3, 375979063452295, 6.7748677E-4, 0.008951278, -0.001200214
},{ 1, 375979065992839, -0.0071850587, -0.13651612, 9.72857
},{ 3, 375979065992839, -0.0019856745, 0.008418647, 3.9768266E-4
